0 0.512 0.02 0.468
1 0.408 0.024 0.568
2 0.512 0.008 0.48
3 0.528 0.024 0.448
4 0.364 0.02 0.616
5 0.468 0.012 0.52
6 0.452 0.028 0.52
7 0.464 0.024 0.512
8 0.408 0.032 0.56
9 0.38 0.016 0.604
10 0.436 0.028 0.536
11 0.432 0.02 0.548
12 0.384 0.012 0.604
13 0.42 0.024 0.556
14 0.44 0.024 0.536
15 0.444 0.02 0.536
16 0.384 0.016 0.6
17 0.46 0.024 0.516
18 0.432 0.036 0.532
19 0.404 0.016 0.58
20 0.416 0.044 0.54
21 0.36 0.028 0.612
22 0.388 0.02 0.592
23 0.444 0.02 0.536
24 0.408 0.016 0.576
25 0.42 0.012 0.568
26 0.42 0.024 0.556
27 0.404 0.048 0.548
28 0.416 0.008 0.576
29 0.424 0.036 0.54
30 0.384 0.036 0.58
31 0.44 0.016 0.544
32 0.332 0.044 0.624
33 0.372 0.024 0.604
34 0.408 0.04 0.552
35 0.468 0.024 0.508
36 0.448 0.016 0.536
37 0.376 0.028 0.596
38 0.452 0.02 0.528
39 0.468 0.028 0.504
40 0.388 0.02 0.592
41 0.436 0.02 0.544
42 0.368 0.02 0.612
43 0.372 0.012 0.616
44 0.396 0.016 0.588
45 0.408 0.02 0.572
46 0.444 0.004 0.552
47 0.444 0.02 0.536
48 0.416 0.016 0.568
49 0.408 0.024 0.568
50 0.448 0.044 0.508
51 0.412 0.024 0.564
52 0.408 0.024 0.568
53 0.432 0.012 0.556
54 0.396 0.028 0.576
55 0.428 0.056 0.516
56 0.432 0.04 0.528
57 0.38 0.044 0.576
58 0.428 0.024 0.548
59 0.46 0.024 0.516
60 0.404 0.02 0.576
61 0.428 0.024 0.548
62 0.396 0.016 0.588
63 0.38 0.056 0.564
64 0.408 0.032 0.56
65 0.364 0.04 0.596
66 0.456 0.048 0.496
67 0.396 0.044 0.56
68 0.384 0.036 0.58
69 0.368 0.028 0.604
70 0.4 0.036 0.564
71 0.368 0.068 0.564
72 0.364 0.02 0.616
73 0.392 0.04 0.568
74 0.396 0.06 0.544
75 0.4 0.056 0.544
76 0.348 0.032 0.62
77 0.412 0.016 0.572
78 0.44 0.032 0.528
79 0.432 0.004 0.564
80 0.404 0.028 0.568
81 0.42 0.024 0.556
82 0.392 0.024 0.584
83 0.456 0.036 0.508
84 0.396 0.056 0.548
85 0.42 0.04 0.54
86 0.46 0.044 0.496
87 0.468 0.016 0.516
88 0.46 0.036 0.504
89 0.344 0.036 0.62
90 0.404 0.032 0.564
91 0.356 0.044 0.6
92 0.376 0.032 0.592
93 0.464 0.048 0.488
94 0.416 0.048 0.536
95 0.48 0.04 0.48
96 0.396 0.024 0.58
97 0.404 0.016 0.58
98 0.44 0.016 0.544
99 0.388 0.016 0.596
100 0.444 0.04 0.516
101 0.4 0.016 0.584
102 0.364 0.04 0.596
103 0.38 0.028 0.592
104 0.44 0.028 0.532
105 0.444 0.012 0.544
106 0.424 0.024 0.552
107 0.428 0.0 0.572
108 0.436 0.02 0.544
109 0.428 0.036 0.536
110 0.396 0.04 0.564
111 0.416 0.028 0.556
112 0.408 0.024 0.568
113 0.348 0.052 0.6
114 0.376 0.02 0.604
115 0.44 0.016 0.544
116 0.416 0.004 0.58
117 0.36 0.028 0.612
118 0.44 0.032 0.528
119 0.452 0.032 0.516
120 0.324 0.036 0.64
121 0.472 0.024 0.504
122 0.384 0.044 0.572
123 0.432 0.024 0.544
124 0.496 0.024 0.48
125 0.38 0.04 0.58
126 0.44 0.048 0.512
127 0.452 0.04 0.508
128 0.408 0.04 0.552
129 0.42 0.028 0.552
130 0.372 0.02 0.608
131 0.468 0.012 0.52
132 0.396 0.04 0.564
133 0.464 0.016 0.52
134 0.38 0.024 0.596
135 0.42 0.044 0.536
136 0.404 0.02 0.576
137 0.46 0.044 0.496
138 0.416 0.028 0.556
139 0.388 0.024 0.588
140 0.46 0.036 0.504
141 0.42 0.02 0.56
142 0.428 0.024 0.548
143 0.42 0.028 0.552
144 0.456 0.02 0.524
145 0.46 0.02 0.52
146 0.384 0.024 0.592
147 0.416 0.044 0.54
148 0.416 0.036 0.548
149 0.368 0.012 0.62
150 0.424 0.036 0.54
151 0.452 0.012 0.536
152 0.368 0.04 0.592
153 0.484 0.04 0.476
154 0.428 0.024 0.548
155 0.42 0.016 0.564
156 0.404 0.036 0.56
157 0.424 0.016 0.56
158 0.416 0.044 0.54
159 0.42 0.028 0.552
160 0.408 0.044 0.548
161 0.42 0.016 0.564
162 0.44 0.052 0.508
163 0.38 0.068 0.552
164 0.456 0.04 0.504
165 0.384 0.052 0.564
166 0.372 0.032 0.596
167 0.404 0.048 0.548
168 0.46 0.052 0.488
169 0.448 0.044 0.508
170 0.4 0.04 0.56
171 0.44 0.048 0.512
172 0.428 0.032 0.54
173 0.388 0.024 0.588
174 0.404 0.028 0.568
175 0.408 0.016 0.576
176 0.4 0.044 0.556
177 0.428 0.012 0.56
178 0.38 0.032 0.588
179 0.46 0.016 0.524
180 0.404 0.02 0.576
181 0.396 0.028 0.576
182 0.428 0.02 0.552
183 0.452 0.016 0.532
184 0.424 0.04 0.536
185 0.42 0.036 0.544
186 0.412 0.024 0.564
187 0.352 0.028 0.62
188 0.38 0.02 0.6
189 0.42 0.012 0.568
190 0.464 0.036 0.5
191 0.408 0.036 0.556
192 0.404 0.032 0.564
193 0.428 0.04 0.532
194 0.348 0.044 0.608
195 0.464 0.016 0.52
196 0.416 0.02 0.564
197 0.392 0.028 0.58
198 0.472 0.044 0.484
199 0.4 0.024 0.576
200 0.368 0.02 0.612
201 0.412 0.056 0.532
202 0.44 0.036 0.524
203 0.372 0.032 0.596
204 0.384 0.044 0.572
205 0.416 0.028 0.556
206 0.428 0.028 0.544
207 0.476 0.016 0.508
208 0.404 0.048 0.548
209 0.388 0.052 0.56
210 0.424 0.048 0.528
211 0.412 0.044 0.544
212 0.428 0.02 0.552
213 0.456 0.04 0.504
214 0.452 0.02 0.528
215 0.424 0.02 0.556
216 0.416 0.024 0.56
217 0.412 0.028 0.56
218 0.436 0.044 0.52
219 0.396 0.032 0.572
220 0.36 0.048 0.592
221 0.42 0.028 0.552
222 0.392 0.048 0.56
223 0.392 0.036 0.572
224 0.384 0.028 0.588
225 0.372 0.036 0.592
226 0.388 0.04 0.572
227 0.456 0.012 0.532
228 0.428 0.016 0.556
229 0.36 0.016 0.624
230 0.412 0.036 0.552
